Video analysis detailed log

Face Model:	General61
Calibration:	None
Start time:	30-01-2019 10:23:42.807
Filename:	\Recorded Videos\Participant 1_Analysis 2_20190130_102342.avi
Frame rate:	15

Video Time	Neutral	Happy	Sad	Angry	Surprised	Scared	Disgusted	Gender	Age	Beard	Moustache	Glasses	Ethnicity	Mouth	Left Eye	Right Eye	Left Eyebrow	Right Eyebrow	Gaze Direction	Stimulus	Event Marker
00:00:00.000	0.256889500	0.009626172	0.000243644	0.000931373	0.567581800	0.124786800	0.000900306	Male	20 - 30	None	None	Yes	Caucasian	Open	Open	Open	Neutral	Neutral	Forward	No Stimulus	No Event Marker
00:00:00.066	0.276200700	0.009310014	0.000248803	0.001012285	0.555131900	0.113459600	0.001003844	Male	20 - 30	None	None	Yes	Caucasian	Open	Open	Open	Neutral	Neutral	Forward	No Stimulus	No Event Marker
00:00:00.133	0.286297300	0.008990651	0.000246092	0.001074116	0.539246100	0.110106200	0.001072500	Male	20 - 30	None	None	Yes	Caucasian	Open	Open	Open	Neutral	Neutral	Forward	No Stimulus	No Event Marker
00:00:00.200	0.296394000	0.008671288	0.000243381	0.001135947	0.523360300	0.106752700	0.001141155	Male	20 - 30	None	None	Yes	Caucasian	Open	Open	Open	Neutral	Neutral	Forward	No Stimulus	No Event Marker
00:00:00.266	0.314542000	0.008562993	0.000318965	0.001102296	0.496876400	0.099825340	0.001261424	Male	20 - 30	None	None	Yes	Caucasian	Open	Open	Open	Neutral	Neutral	Forward	No Stimulus	No Event Marker
00:00:00.333	0.309584700	0.008869308	0.000363720	0.001001677	0.490182400	0.096460730	0.001407377	Male	20 - 30	None	None	Yes	Caucasian	Open	Open	Open	Neutral	Neutral	Forward	No Stimulus	No Event Marker
00:00:00.400	0.288218200	0.008586923	0.000381768	0.001008308	0.486313900	0.092876930	0.001555842	Male	20 - 30	None	None	Yes	Caucasian	Open	Open	Open	Neutral	Neutral	Forward	No Stimulus	No Event Marker
00:00:00.466	0.266851700	0.008304539	0.000399815	0.001014938	0.482445300	0.089293110	0.001704308	Male	20 - 30	None	None	Yes	Caucasian	Open	Open	Open	Neutral	Neutral	Forward	No Stimulus	No Event Marker
00:00:00.533	0.360384500	0.010309090	0.000464858	0.001284810	0.430669000	0.073497310	0.001898084	Male	20 - 30	None	None	Yes	Caucasian	Open	Open	Open	Neutral	Neutral	Forward	No Stimulus	No Event Marker
00:00:00.600	0.467037100	0.012369330	0.000505588	0.001617529	0.375958900	0.057401000	0.001952679	Male	20 - 30	None	None	Yes	Caucasian	Open	Open	Open	Neutral	Neutral	Forward	No Stimulus	No Event Marker
00:00:00.666	0.496270500	0.017901440	0.000492587	0.001651897	0.347312200	0.051998140	0.002082074	Male	20 - 30	None	None	Yes	Caucasian	Open	Open	Open	Neutral	Neutral	Forward	No Stimulus	No Event Marker
00:00:00.733	0.525503900	0.023433560	0.000479587	0.001686264	0.318665500	0.046595280	0.002211469	Male	20 - 30	None	None	Yes	Caucasian	Open	Open	Open	Neutral	Neutral	Forward	No Stimulus	No Event Marker
