Video analysis detailed log

Face Model:	General61
Calibration:	None
Start time:	29-01-2019 08:07:10.627
Filename:	\Recorded Videos\Participant 1_Analysis 1_20190129_080710.avi
Frame rate:	15

Video Time	Neutral	Happy	Sad	Angry	Surprised	Scared	Disgusted	Gender	Age	Beard	Moustache	Glasses	Ethnicity	Mouth	Left Eye	Right Eye	Left Eyebrow	Right Eyebrow	Gaze Direction	Stimulus	Event Marker
00:00:00.000	0.956407800	0.172864200	0.000622594	0.003433941	0.041202770	0.000123825	0.000276558	Male	40 - 50	None	None	Yes	South Asian	Closed	Closed	Open	Raised	Neutral	Unknown	No Stimulus	No Event Marker
00:00:00.066	0.955913800	0.175025500	0.000609319	0.003246229	0.051809370	0.000119539	0.000272721	Male	40 - 50	None	None	Yes	South Asian	Closed	Closed	Open	Raised	Neutral	Unknown	No Stimulus	No Event Marker
00:00:00.133	0.955419800	0.177186700	0.000596043	0.003058517	0.062415980	0.000115253	0.000268884	Male	40 - 50	None	None	Yes	South Asian	Closed	Closed	Open	Raised	Neutral	Unknown	No Stimulus	No Event Marker
00:00:00.200	0.957663500	0.192836300	0.000555137	0.002712583	0.066120450	0.000224175	0.000291463	Male	40 - 50	None	None	Yes	South Asian	Closed	Closed	Open	Raised	Neutral	Unknown	No Stimulus	No Event Marker
00:00:00.266	0.958320100	0.194941200	0.000532100	0.002791815	0.062946840	0.000226565	0.000296761	Male	40 - 50	None	None	Yes	South Asian	Closed	Closed	Open	Raised	Neutral	Unknown	No Stimulus	No Event Marker
00:00:00.333	0.958976900	0.197046100	0.000509063	0.002871047	0.059773220	0.000228955	0.000302058	Male	40 - 50	None	None	Yes	South Asian	Closed	Closed	Open	Raised	Neutral	Unknown	No Stimulus	No Event Marker
00:00:00.400	0.963183200	0.198891600	0.000487199	0.002766043	0.063723020	0.000253273	0.000330649	Male	40 - 50	None	None	Yes	South Asian	Closed	Closed	Open	Raised	Neutral	Unknown	No Stimulus	No Event Marker
00:00:00.466	0.966243600	0.196426700	0.000443945	0.002683737	0.073670920	0.000295194	0.000357478	Male	40 - 50	None	None	Yes	South Asian	Closed	Closed	Open	Raised	Neutral	Unknown	No Stimulus	No Event Marker
00:00:00.533	0.968376200	0.194256200	0.000442513	0.002709979	0.072314310	0.000294128	0.000372138	Male	40 - 50	None	None	Yes	South Asian	Closed	Closed	Open	Raised	Neutral	Unknown	No Stimulus	No Event Marker
00:00:00.600	0.970508800	0.192085800	0.000441082	0.002736222	0.070957700	0.000293063	0.000386798	Male	40 - 50	None	None	Yes	South Asian	Closed	Closed	Open	Raised	Neutral	Unknown	No Stimulus	No Event Marker
00:00:00.666	0.969861000	0.189299000	0.000433697	0.002948156	0.065680810	0.000280814	0.000390651	Male	40 - 50	None	None	Yes	South Asian	Closed	Closed	Open	Raised	Neutral	Unknown	No Stimulus	No Event Marker
00:00:00.733	0.969320500	0.194511300	0.000412891	0.003133822	0.061176370	0.000269378	0.000388204	Male	45 - 55	None	None	Yes	South Asian	Closed	Closed	Open	Raised	Neutral	Unknown	No Stimulus	No Event Marker
00:00:00.800	0.970263500	0.193793600	0.000418780	0.003077811	0.063381950	0.000277932	0.000397114	Male	45 - 55	None	None	Yes	South Asian	Closed	Closed	Open	Raised	Neutral	Unknown	No Stimulus	No Event Marker
00:00:00.866	0.971206500	0.193076000	0.000424670	0.003021800	0.065587530	0.000286485	0.000406025	Male	45 - 55	None	None	Yes	South Asian	Closed	Closed	Open	Raised	Neutral	Unknown	No Stimulus	No Event Marker
00:00:00.933	0.973294900	0.182224300	0.000443941	0.002932715	0.071184040	0.000245675	0.000417209	Male	45 - 55	None	None	Yes	South Asian	Closed	Closed	Open	Raised	Neutral	Unknown	No Stimulus	No Event Marker
00:00:01.000	0.973312100	0.186268400	0.000439636	0.002977590	0.068238500	0.000253329	0.000423234	Male	45 - 55	None	None	Yes	South Asian	Closed	Closed	Open	Raised	Neutral	Unknown	No Stimulus	No Event Marker
00:00:01.066	0.973329500	0.190312500	0.000435331	0.003022465	0.065292970	0.000260983	0.000429258	Male	45 - 55	None	None	Yes	South Asian	Closed	Closed	Open	Raised	Raised	Unknown	No Stimulus	No Event Marker
